          master-2300  [000] d.h.  1400.515315: __calc_delta: Trace Old Total Tick: 51, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
          master-2300  [000] d.h.  1400.515316: __calc_delta: Trace Old Total Tick: 19, delta_exec: 5999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 2999995
          master-2300  [000] dNh.  1400.515316: __calc_delta: Trace Old Total Tick: 34, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
          master-2300  [000] dNh.  1400.515317: __calc_delta: Trace Old Total Tick: 20, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
          master-2300  [000] dNh.  1400.515317: __calc_delta: Trace Old Total Tick: 33, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
           under-2306  [000] d.h.  1400.519315: __calc_delta: Trace Old Total Tick: 18, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
           under-2306  [000] d.h.  1400.519315: __calc_delta: Trace Old Total Tick: 56, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
           under-2306  [000] d.h.  1400.519316: __calc_delta: Trace Old Total Tick: 33, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
           under-2306  [000] d.h.  1400.523314: __calc_delta: Trace Old Total Tick: 18, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
           under-2306  [000] d.h.  1400.523315: __calc_delta: Trace Old Total Tick: 18, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
           under-2306  [000] dNh.  1400.523315: __calc_delta: Trace Old Total Tick: 32, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
             phd-2301  [000] d.h.  1400.527315: __calc_delta: Trace Old Total Tick: 20, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
             phd-2301  [000] d.h.  1400.527315: __calc_delta: Trace Old Total Tick: 71, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
             phd-2301  [000] d.h.  1400.527315: __calc_delta: Trace Old Total Tick: 30, delta_exec: 5999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 2999995
             phd-2301  [000] dNh.  1400.527316: __calc_delta: Trace Old Total Tick: 33, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
             phd-2301  [000] dNh.  1400.527316: __calc_delta: Trace Old Total Tick: 18, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
             phd-2301  [000] dNh.  1400.527317: __calc_delta: Trace Old Total Tick: 34, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
          master-2299  [000] d.h.  1400.531315: __calc_delta: Trace Old Total Tick: 20, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
          master-2299  [000] d.h.  1400.531315: __calc_delta: Trace Old Total Tick: 33, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
          master-2299  [000] d.h.  1400.531315: __calc_delta: Trace Old Total Tick: 34, delta_exec: 5999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 2999995
          master-2299  [000] dNh.  1400.531316: __calc_delta: Trace Old Total Tick: 36, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
          master-2299  [000] dNh.  1400.531316: __calc_delta: Trace Old Total Tick: 20, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
          master-2299  [000] dNh.  1400.531317: __calc_delta: Trace Old Total Tick: 34, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
           under-2305  [000] d.h.  1400.535315: __calc_delta: Trace Old Total Tick: 18, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
           under-2305  [000] d.h.  1400.535315: __calc_delta: Trace Old Total Tick: 28, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
           under-2305  [000] d.h.  1400.535316: __calc_delta: Trace Old Total Tick: 33, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 0, Calculated Value: 11999994
           under-2305  [000] d.h.  1400.539314: __calc_delta: Trace Old Total Tick: 18, delta_exec: 24000000, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 11999994
           under-2305  [000] d.h.  1400.539315: __calc_delta: Trace Old Total Tick: 18, delta_exec: 11999994, Weight: 1048576, Load Weight: 2097152, Inverted Weight: 2097151, Calculated Value: 5999994
